,DATE,OrderNumber,Coord
421,12/4/2018,3759223,"[42.25, 9.0]"
422,12/4/2018,3759217,"[24, 21.0]"
423,12/4/2018,3759219,"[22.75, 6.0]"
424,12/4/2018,3759203,"[26, 16.5]"
425,12/4/2018,3759203,"[41.0, 16.5]"
426,12/4/2018,3759185,"[22.75, 15.0]"
427,12/4/2018,3759168,"[19.5, 21.0]"
428,12/4/2018,3759165,"[39.0, 10.5]"
429,12/4/2018,3759150,"[19.5, 21.0]"
430,12/4/2018,3759151,"[44.25, 9.0]"
431,12/4/2018,3759151,"[19.5, 21.0]"
432,12/4/2018,3759148,"[42.25, 10.5]"
433,12/4/2018,3759148,"[22.75, 15.0]"
434,12/4/2018,3759149,"[20.75, 18.0]"
435,12/4/2018,3759139,"[22.75, 12.0]"
436,12/4/2018,3759139,"[20.75, 12.0]"
437,12/4/2018,3759139,"[20.75, 12.0]"
438,12/4/2018,3759139,"[20.75, 12.0]"
439,12/4/2018,3759139,"[20.75, 12.0]"
440,12/4/2018,3759107,"[22.75, 15.0]"
441,12/4/2018,3759107,"[32.5, 6.0]"
442,12/4/2018,3759088,"[26, 15.0]"
443,12/4/2018,3759088,"[22.75, 15.0]"
444,12/4/2018,3759084,"[41.0, 15.0]"
445,12/4/2018,3759085,"[28.0, 10.5]"
446,12/4/2018,3759068,"[42.25, 9.0]"
447,12/4/2018,3759081,"[32.5, 9.0]"
448,12/4/2018,3759064,"[28.0, 15.0]"
449,12/4/2018,3759065,"[19.5, 9.0]"
450,12/4/2018,3759065,"[15.25, 10.5]"
451,12/4/2018,3759063,"[50.75, 9.0]"
452,12/4/2018,3759061,"[20.75, 10.5]"
453,12/4/2018,3758970,"[39.0, 12.0]"
454,12/4/2018,3758970,"[32.5, 22.5]"
455,12/4/2018,3758966,"[24, 9.0]"
456,12/4/2018,3758956,"[39.0, 9.0]"
457,12/4/2018,3758963,"[26, 12.0]"
458,12/4/2018,3758963,"[24, 9.0]"
459,12/4/2018,3758953,"[48.75, 12.0]"
460,12/4/2018,3758879,"[45.5, 19.5]"
461,12/4/2018,3758774,"[47.5, 10.5]"
462,12/4/2018,3758775,"[19.5, 21.0]"
463,12/4/2018,3758773,"[19.5, 21.0]"
464,12/4/2018,3758770,"[22.75, 18.0]"
465,12/4/2018,3758756,"[44.25, 19.5]"
466,12/4/2018,3758748,"[34.5, 13.5]"
467,12/4/2018,3758748,"[31.25, 9.0]"
468,12/4/2018,3758740,"[45.5, 22.5]"
469,12/4/2018,3758740,"[19.5, 21.0]"
470,12/4/2018,3758737,"[45.5, 10.5]"
471,12/4/2018,3758509,"[44.25, 21.0]"
472,12/4/2018,3758498,"[52.0, 13.5]"
473,12/4/2018,3758493,"[19.5, 9.0]"
474,12/4/2018,3758493,"[15.25, 10.5]"
475,12/4/2018,3758492,"[24, 13.5]"
476,12/4/2018,3758442,"[22.75, 15.0]"
477,12/4/2018,3758428,"[22.75, 13.5]"
478,12/4/2018,3758425,"[42.25, 10.5]"
479,12/4/2018,3758423,"[19.5, 18.0]"
480,12/4/2018,3758413,"[32.5, 19.5]"
481,12/4/2018,3758348,"[42.25, 15.0]"
482,12/4/2018,3760104,"[26, 10.5]"
483,12/4/2018,3760063,"[50.75, 9.0]"
484,12/4/2018,3760064,"[20.75, 18.0]"
485,12/4/2018,3760027,"[24, 6.0]"
486,12/4/2018,3760041,"[24, 9.0]"
487,12/4/2018,3760016,"[37.75, 13.5]"
488,12/4/2018,3760016,"[22.75, 12.0]"
489,12/4/2018,3760022,"[24, 13.5]"
490,12/4/2018,3759994,"[19.5, 21.0]"
491,12/4/2018,3759993,"[19.5, 21.0]"
492,12/4/2018,3759958,"[41.0, 13.5]"
493,12/4/2018,3759956,"[28.0, 21.0]"
